date,1. open,2. high,3. low,4. close,5. volume
2023-08-11 18:00:00,433.0374,433.1734,432.882,433.1054,995151.0
2023-08-11 19:00:00,433.0908,433.1637,432.9597,433.0277,19414.0
2023-08-11 20:00:00,432.882,432.882,432.882,432.882,985105.0
2023-08-14 04:00:00,434.2516,434.543,432.9791,433.5716,35159.0
2023-08-14 05:00:00,433.5814,433.931,433.3579,433.6396,16794.0
2023-08-14 06:00:00,433.6591,434.1156,433.4551,433.9019,34776.0
2023-08-14 07:00:00,433.8922,434.0087,433.1928,433.4842,113893.0
2023-08-14 08:00:00,433.8547,434.4459,431.6872,432.2797,378855.0
2023-08-14 09:00:00,432.2603,432.5383,431.6484,432.4352,6043876.0
2023-08-14 10:00:00,432.4352,434.7761,432.1832,434.4167,9401677.0
2023-08-14 11:00:00,434.4167,434.9315,433.7756,434.3196,5382627.0
2023-08-14 12:00:00,434.3293,434.6401,433.5814,434.4069,3697914.0
2023-08-14 13:00:00,434.4216,434.8247,433.9408,434.3011,3611714.0
2023-08-14 14:00:00,434.3099,434.3827,433.5134,433.9602,4483801.0
2023-08-14 15:00:00,433.9699,435.2715,433.6979,435.2521,9770737.0
2023-08-14 16:00:00,435.2521,435.3395,431.6581,435.2326,6393541.0
2023-08-14 17:00:00,435.2424,448.0664,431.8232,435.2424,185325.0
2023-08-14 18:00:00,435.2229,435.999,435.1064,435.9029,955825.0
2023-08-14 19:00:00,435.9223,435.9272,435.5629,435.66,32518.0
2023-08-14 20:00:00,435.2715,435.2715,435.2715,435.2715,890447.0
2023-08-15 04:00:00,433.3094,435.1647,432.8626,433.8242,127575.0
2023-08-15 05:00:00,433.8145,433.8145,433.1637,433.3871,89795.0
2023-08-15 06:00:00,433.3288,433.6008,432.3575,432.8917,179797.0
2023-08-15 07:00:00,432.9111,433.0957,431.9786,432.2603,501141.0
2023-08-15 08:00:00,432.9103,436.204,431.8232,432.2797,500018.0
2023-08-15 09:00:00,432.3089,433.8436,432.1729,432.4934,7451911.0
2023-08-15 10:00:00,432.4837,432.5129,430.7644,431.2113,12689309.0
2023-08-15 11:00:00,431.2219,432.4349,431.2113,432.3526,5954971.0
2023-08-15 12:00:00,432.3672,432.5906,431.0947,431.3984,5797791.0
2023-08-15 13:00:00,431.4152,431.9495,430.9587,431.3181,6732555.0
